ID,var_rpta_alt,Prob_uno
82315#796739#283603,0,0.48021045
305431#830902#249440,0,0.14773414
191287#180650#907480,1,0.7120731
325540#359775#720088,0,0.3969259
104164#870960#209382,0,0.36810482
419790#703117#377225,1,0.6018196
385203#322645#760493,1,0.69453365
265204#512277#568065,0,0.49279657
615809#246955#836042,1,0.73622984
492907#833827#246515,1,0.7066383
519426#476099#604243,0,0.4192845
343078#713036#367306,0,0.42564645
579554#254116#828878,1,0.5408625
361606#620091#460251,1,0.6607714
27372#1071120#9222,1,0.63257176
387473#591553#488789,0,0.18377383
37054#250623#832376,1,0.64319223
435457#71766#1033297,0,0.3552465
411421#358837#721020,1,0.69467163
331918#253524#829476,0,0.45918307
458587#154497#933618,1,0.65790683
200516#1030154#50188,1,0.82113546
424997#233080#849749,0,0.49248272
285438#489840#590502,0,0.21982689
93856#179627#908493,0,0.4384869
313683#1066197#14145,1,0.6866102
305062#707119#373223,1,0.61728185
359813#401620#678296,1,0.6550673
41776#118031#969796,1,0.59381664
549240#754384#325958,1,0.520069
535662#874906#205436,0,0.3966469
222849#952636#127706,0,0.49427542
444462#266806#816202,1,0.82437885
565253#646348#433994,0,0.35256597
128500#709481#370861,1,0.52366734
143808#827882#252460,1,0.68013597
178747#840420#239922,1,0.5556582
397405#791419#288923,0,0.45729867
122191#433493#646635,0,0.3789903
334946#999342#81000,1,0.52863574
466507#983180#97162,1,0.50274736
433096#704351#375991,1,0.5897261
249344#834226#246116,0,0.30811816
586814#756878#323464,0,0.47370666
171889#49153#1055675,0,0.42282954
407152#754948#325394,1,0.63169545
174421#950334#130008,1,0.5716756
435971#408186#671733,1,0.7450108
79401#329544#751154,1,0.84830534
62326#575666#504676,0,0.46174297
191580#608392#471950,1,0.6181222
150465#751828#328514,0,0.16430914
13297#802033#278309,0,0.33856398
440173#760775#319567,1,0.58420557
442984#720980#359362,0,0.2852659
552594#639992#440350,0,0.3687867
576414#385052#694806,1,0.87512803
560396#1003964#76378,0,0.40807536
544823#866439#213903,0,0.40253326
9194#1025670#54672,1,0.50181985
290724#807660#272682,1,0.53554666
530843#263372#819616,1,0.54612887
107783#692087#388255,0,0.1945012
70803#436848#643431,1,0.75872284
211885#802005#278337,1,0.558932
446279#759798#320544,1,0.64547086
264024#611941#468401,1,0.50479203
193260#980584#99758,0,0.4715769
65778#256218#826766,0,0.48868874
235978#198338#889925,1,0.5041004
590023#172635#915491,1,0.8619896
626504#683556#396786,0,0.25973237
629920#228389#854435,1,0.5369576
197602#1042672#37670,0,0.41144451
412049#142919#945176,1,0.81466705
301748#513514#566828,0,0.49186766
478513#884913#195429,0,0.4399892
193245#606920#473422,1,0.58595556
193290#1006753#73589,0,0.43896726
245382#479944#600398,0,0.38238445
160609#1071834#8508,0,0.38625455
53528#439720#640586,0,0.31648278
202496#564525#515817,0,0.4327277
171737#114820#973000,1,0.70730394
142764#650690#429652,0,0.45080987
72606#984659#95683,1,0.63732433
411185#162516#925596,1,0.58483666
341009#881844#198498,0,0.3185932
167842#955562#124780,1,0.5578992
243067#574984#505358,1,0.5707284
626457#770963#309379,0,0.4513917
258756#854117#226225,0,0.36213288
484081#59049#1045925,0,0.3621959
308602#718574#361768,0,0.16871677
558028#992380#87962,0,0.49115965
596135#186078#902072,0,0.3562456
508953#757667#322675,1,0.6693594
615703#1033661#46681,0,0.4532313
604085#210296#872443,0,0.37701145
344411#1033713#46629,0,0.40598926
233656#390359#689528,1,0.7881135
421342#466889#613453,0,0.43360144
529462#841937#238405,0,0.24437603
571571#266868#816140,1,0.72896004
191688#781190#299152,0,0.39709222
437311#406043#673881,1,0.88172495
378556#704312#376030,0,0.44887877
538767#202918#882314,1,0.72364384
26822#99896#987887,1,0.5360172
196205#431725#648333,1,0.7603891
302739#817615#262727,0,0.3158136
160709#93679#994096,1,0.7761632
525744#663427#416915,0,0.3240615
279050#364593#715259,1,0.79175955
64905#836405#243937,1,0.5544683
86505#1003940#76402,0,0.39967248
226926#815070#265272,1,0.5650739
4952#715767#364575,1,0.5607783
222497#564466#515876,0,0.45024693
239792#803265#277077,0,0.42649686
258485#1009389#70953,1,0.8341978
528548#843013#237329,1,0.6415685
565161#695437#384905,0,0.44610706
193725#201432#886838,1,0.6071118
556430#74452#1030597,0,0.3862085
117243#747538#332804,0,0.23881014
589146#541231#539111,1,0.5496531
519745#327951#755191,1,0.5625622
272453#136203#951892,0,0.49456325
131611#188772#899416,1,0.5675022
451059#285315#797742,1,0.5786326
22425#131153#956697,1,0.6001542
468066#724720#355622,0,0.47798684
442485#39868#1065223,1,0.886077
327062#576575#503767,0,0.45222065
335753#447444#632903,0,0.32795984
617523#49293#1055539,1,0.5332199
511266#57511#1047451,0,0.4715461
190167#793871#286471,0,0.2443651
237974#1010767#69575,0,0.46165717
320145#632549#447793,1,0.87118936
489136#1012190#68152,1,0.59279007
3563#237773#845204,0,0.42983568
267658#588294#492048,1,0.52918315
192375#110429#977369,1,0.524083
523253#353498#726371,1,0.67627156
69057#495504#584838,0,0.29045612
349551#194630#893625,1,0.58510214
600739#333740#746839,1,0.86573845
409228#448641#631716,1,0.5283929
279847#428343#651655,1,0.58107483
162869#316027#767113,1,0.7848495
346121#423681#656302,1,0.67027485
509751#47282#1057541,1,0.5242616
617319#153934#934181,1,0.7701758
560664#652870#427472,1,0.5638219
412532#543787#536555,1,0.6714668
369382#50381#1054486,1,0.6087792
259705#280129#802915,1,0.72360224
371843#126536#961298,1,0.6376061
170522#113848#973966,1,0.6075423
511467#390785#689119,1,0.5652034
267000#767829#312513,0,0.41603953
110199#557243#523099,1,0.68199134
297272#842373#237969,0,0.38038626
325667#327670#755462,1,0.8092747
68545#621556#458786,0,0.38622084
262075#521009#559333,1,0.5687993
514472#896802#183540,0,0.42445758
414665#94755#993019,0,0.4901849
302441#1041849#38493,1,0.50300986
31053#674800#405542,0,0.2867732
132132#498346#581996,0,0.36768156
388231#591252#489090,0,0.38313276
148890#330654#750055,1,0.86990035
404877#867315#213027,0,0.41908717
25860#407677#672239,1,0.6436945
417352#882669#197673,1,0.5397533
88593#902546#177796,1,0.5758995
179448#872771#207571,0,0.4314024
116951#290382#792674,0,0.39505592
296565#486890#593452,0,0.29493988
586016#485202#595140,0,0.42381364
278078#765712#314630,1,0.74164146
202842#230807#852028,1,0.7310321
458472#880170#200172,0,0.3651171
97672#571299#509043,0,0.42723277
491573#723869#356473,1,0.60577506
109406#223936#858865,1,0.58598536
468707#1036336#44006,0,0.38796756
389813#177271#910839,1,0.764335
571070#978736#101606,0,0.2246379
600231#319895#763255,1,0.86948293
285438#489857#590485,0,0.40378127
180038#259912#823069,1,0.6279242
396044#217129#865640,0,0.39208567
481918#268829#814184,1,0.7337239
418234#807545#272797,1,0.5084862
51629#1030560#49782,0,0.292954
115401#238550#844446,1,0.5738758
358294#727484#352858,0,0.13045909
269166#1049501#30841,1,0.5760196
276159#401729#678188,1,0.83434343
542980#42169#1062934,1,0.819037
53515#158028#930076,1,0.7684355
634586#678806#401536,0,0.42987758
347481#54414#1050534,0,0.44287828
618710#492844#587498,0,0.40341052
260902#604797#475545,0,0.15827955
510838#587867#492475,1,0.6191497
252859#518215#562127,0,0.30273578
116667#482395#597947,1,0.64655936
294765#434843#645349,1,0.8951759
573222#889070#191272,0,0.2845086
623826#267578#815436,1,0.64266884
424866#1053820#26522,1,0.54360557
113541#1062455#17887,1,0.5878481
330612#645508#434834,0,0.45539722
362351#182018#906117,1,0.6619352
269078#472727#607615,0,0.24067222
599381#222941#859858,1,0.7798614
383380#274255#808766,1,0.711601
199792#860442#219900,1,0.5217083
60233#498443#581899,0,0.31799522
503202#545720#534622,0,0.3302269
259074#475302#605040,0,0.1362509
110295#855296#225046,1,0.62635654
343769#490816#589526,0,0.49774057
510332#890560#189782,0,0.30152485
233229#1029133#51209,0,0.25640312
78469#177776#910341,1,0.73906475
551307#324329#758798,1,0.66466826
533098#885970#194372,0,0.3577985
162118#289400#793661,1,0.5825334
90635#995250#85092,0,0.39657596
31455#821056#259286,1,0.7175674
467139#853719#226623,1,0.5148004
468489#419665#660329,1,0.5506081
518189#224035#858766,1,0.7875937
476798#108883#978914,1,0.6756029
414310#157149#930950,1,0.656021
576331#929288#151054,1,0.836196
458443#1016996#63346,1,0.5139913
619095#1077145#3197,1,0.71200407
272432#40961#1064143,0,0.44485933
401867#328010#755135,0,0.4858941
10371#440168#640141,1,0.58784044
352879#735661#344681,1,0.56366986
79008#104895#982878,1,0.7987007
331087#673928#406414,0,0.3874144
617462#1022999#57343,1,0.6952469
592396#760130#320212,1,0.56475383
57691#193328#894919,1,0.8176056
342128#354729#725138,0,0.2875164
485812#117985#969843,1,0.71470153
575711#659934#420408,0,0.3368951
361640#833271#247071,1,0.5619972
217584#1063352#16990,0,0.4379082
157612#559657#520685,0,0.45317686
546857#51575#1053366,0,0.4929927
437030#817729#262613,1,0.66210574
19089#243672#839328,0,0.4343629
422817#686399#393943,0,0.3963754
300399#1054833#25509,0,0.3761982
550002#775737#304605,0,0.41927427
165004#210666#872079,1,0.6804364
439822#437975#642319,1,0.7212942
204815#1072676#7666,1,0.6547453
91526#790821#289521,0,0.16316377
605171#676220#404122,1,0.51282096
15285#738742#341600,1,0.5934997
261592#619954#460388,0,0.38160238
544288#492171#588171,0,0.484236
195315#583124#497218,0,0.22703274
295412#455572#624763,1,0.8035793
242515#247508#835497,1,0.66646117
88064#303718#779388,1,0.8604849
457599#494453#585889,1,0.5356982
474841#374275#705577,0,0.29942718
415146#757010#323332,0,0.22033207
517564#340980#739663,1,0.59580016
123367#833822#246520,0,0.48428497
408622#163871#924246,1,0.68021363
48177#1022559#57783,1,0.5649467
81489#529174#551168,1,0.5398716
13766#359999#719864,1,0.70451564
157803#1037640#42702,1,0.6396967
151037#799684#280658,0,0.38208425
374016#1061112#19230,1,0.5154317
511098#991561#88781,0,0.10540448
253953#609916#470426,0,0.3405274
452953#799178#281164,0,0.2665824
550809#888225#192117,0,0.32979125
242351#439259#641046,1,0.7830856
211024#302712#780400,1,0.7523203
269037#512897#567445,1,0.5205314
147616#142951#945146,0,0.4131567
105881#691848#388494,1,0.5218343
245732#980784#99558,1,0.62021655
6478#138844#949254,1,0.804113
514200#494744#585598,1,0.5320742
351734#611298#469044,1,0.5679087
13113#37600#1067462,1,0.6571866
414596#113441#974372,1,0.50435305
94849#213819#868941,1,0.6862726
189418#707207#373135,0,0.41067135
286192#236248#846674,1,0.66766214
96619#143338#944767,1,0.8005151
118617#640670#439672,0,0.40925086
252941#114200#973619,1,0.66609204
205597#433580#646554,1,0.83248985
50564#1021139#59203,0,0.3604122
312853#983741#96601,0,0.33786386
7184#1025055#55287,1,0.5541347
407241#274576#808445,1,0.8568497
384094#97559#990206,1,0.7607976
104081#237972#845007,0,0.121790156
556423#316927#766217,0,0.4650289
310089#608190#472152,0,0.073162585
395948#742019#338323,1,0.6850417
160863#244165#838835,0,0.45845982
180981#706887#373455,0,0.3618204
309117#1006704#73638,1,0.5414514
406558#808358#271984,1,0.5312351
185339#319342#763804,1,0.75181174
161406#294510#788582,1,0.8198989
330782#572165#508177,1,0.5496789
408085#403259#676660,1,0.6951065
216761#795836#284506,0,0.34356123
684#196279#891979,0,0.32491067
375985#349801#730957,0,0.37800804
43653#794575#285767,0,0.4764871
342144#294072#789014,0,0.48977044
297018#689626#390716,1,0.7418031
474968#182922#905212,1,0.5261733
73731#564805#515537,0,0.42028707
320620#869495#210847,0,0.41261044
179417#524487#555855,1,0.6056975
331130#231433#851404,1,0.79869205
392610#807409#272933,1,0.548299
173756#1080273#69,1,0.6131802
486214#290766#792289,0,0.4531224
413628#253191#829811,1,0.5658573
260639#101179#986596,1,0.6536775
86226#538123#542219,0,0.47496158
414271#380952#698906,0,0.44460118
109705#1023069#57273,0,0.3810929
558167#665747#414595,1,0.5853232
22965#995001#85341,1,0.57931304
326466#313738#769400,1,0.613744
255679#619494#460848,1,0.5379847
317953#363751#716099,1,0.6354538
588997#736661#343681,1,0.5988532
494018#634046#446296,1,0.5716883
283935#841846#238496,1,0.6909839
299809#348685#732062,0,0.4431369
166379#754925#325417,0,0.46275035
107137#834646#245696,1,0.6475042
480348#326137#756999,1,0.80377346
528424#657123#423219,1,0.5548076
278006#276715#806313,1,0.5958733
147142#206072#879204,0,0.48429415
62176#667514#412828,0,0.4456275
158414#843646#236696,0,0.31078252
631123#661653#418689,0,0.40283498
319482#187286#900868,1,0.7939714
615346#392209#687692,1,0.7573862
421579#198183#890080,0,0.3918015
55361#815452#264890,1,0.6397589
561630#383562#696291,1,0.62062174
410424#982671#97671,0,0.18656212
422759#459066#621275,1,0.6302275
376724#960205#120137,0,0.47225288
443739#447749#632602,0,0.4817011
623274#451313#629047,1,0.505736
235534#766242#314100,0,0.37348416
582662#159261#928847,1,0.88205194
422027#58614#1046368,1,0.5405816
330358#751392#328950,0,0.31670162
277187#977764#102578,1,0.5867374
329317#684952#395390,1,0.71470904
22158#838763#241579,0,0.45799434
467714#373328#706525,0,0.37900442
376375#533174#547168,1,0.658343
227024#848188#232154,1,0.644622
93370#941779#138563,0,0.23425357
7363#675879#404463,0,0.40194148
609581#441353#638962,1,0.71121764
267846#141852#946250,1,0.60081047
585118#89080#1016225,1,0.5904531
564292#227700#855130,1,0.57257694
371376#1038285#42057,1,0.71821105
533838#1027894#52448,0,0.33337137
257264#628776#451566,1,0.61226183
582850#426428#653551,1,0.5793393
21270#545924#534418,0,0.45715183
415378#189984#898251,0,0.38659838
228750#416585#663409,0,0.46417502
35737#1026553#53789,0,0.29283768
407900#373435#706417,1,0.7775122
570061#824361#255981,1,0.6228424
384772#619835#460507,0,0.39934784
587320#401804#678110,1,0.5634192
297871#152622#935476,1,0.6576342
226417#944009#136333,0,0.37354782
259859#482034#598308,1,0.6058562
424583#750022#330320,1,0.63131094
291129#868048#212294,0,0.49410486
26394#928261#152081,1,0.51015604
529847#1015314#65028,0,0.25576842
26589#743853#336489,0,0.39965278
427801#827156#253186,1,0.62539524
324481#1051035#29307,0,0.208674
26875#406006#673918,1,0.59309465
360425#254596#828395,1,0.70662844
361487#552930#527412,1,0.56258804
416891#286078#796988,1,0.8411919
239357#383195#696656,0,0.3567803
66558#651989#428353,1,0.5720306
570481#879621#200721,0,0.25680155
518245#638127#442215,1,0.5813851
220198#711531#368811,0,0.2953748
415992#137860#950245,1,0.65183634
123458#188898#899295,1,0.8164334
188117#176240#911859,1,0.5161984
374885#731119#349223,1,0.5868705
585901#1012915#67427,1,0.56548005
97734#615021#465321,1,0.5246257
215554#371400#708449,0,0.46028978
204446#872456#207886,0,0.29782063
538596#295404#787691,1,0.7691057
581047#571401#508941,0,0.27838516
471392#188260#899907,1,0.637979
31136#508275#572067,0,0.4507471
442733#994954#85388,1,0.7322352
400640#424156#655828,1,0.7650826
13946#35059#1069994,1,0.89798915
332489#644848#435494,1,0.5636763
468489#274365#808658,0,0.49354985
265200#599737#480605,0,0.3935772
442252#1056967#23375,0,0.49799663
359358#39304#1065792,1,0.7580959
275715#86519#1018746,1,0.5877945
547986#54786#1050162,0,0.38557267
613537#658628#421714,0,0.44337487
410846#438101#642199,1,0.69367987
601682#165729#922390,1,0.64487445
56595#995686#84656,1,0.7420469
441644#513463#566879,1,0.6476051
266267#997300#83042,0,0.298568
312121#691737#388605,0,0.4747101
282578#657322#423020,0,0.35520446
549130#754749#325593,1,0.62702495
23044#595773#484569,0,0.47747406
8904#876197#204145,1,0.5002663
608055#858464#221878,1,0.54822606
30736#710154#370188,1,0.6859775
343763#57279#1047678,0,0.39837182
341810#372751#707102,1,0.8748868
306867#832727#247615,1,0.54055786
627219#333805#746776,1,0.87110674
209171#464607#615735,1,0.5028276
532133#487488#592854,1,0.6663081
461440#636422#443920,0,0.47271577
421280#144480#943618,1,0.73141724
412885#1048245#32097,1,0.6752292
273624#612662#467680,1,0.57125425
21823#508250#572092,1,0.72235537
88673#120964#966860,1,0.81417286
575098#819118#261224,0,0.3306848
325916#983991#96351,0,0.49039325
114067#229388#853449,1,0.768925
547378#837724#242618,0,0.29115167
136729#529893#550449,1,0.6772122
341518#918377#161965,0,0.44496325
300634#527961#552381,0,0.3317586
393586#1006371#73971,0,0.43281415
232918#1077320#3022,1,0.5464231
493783#343750#736927,1,0.5558473
226275#87646#1017633,1,0.5196113
390458#383792#696064,1,0.61198497
330293#60687#1044290,0,0.32857087
2413#134449#953602,0,0.41742036
497811#816589#263753,0,0.37938023
8084#948207#132135,0,0.24628612
416403#127167#960674,1,0.5521523
413305#556072#524270,0,0.42929825
382092#1053576#26766,1,0.67758447
30772#868835#211507,0,0.46111405
327648#214397#868362,1,0.52460945
137403#160582#927524,1,0.66286623
483682#871050#209292,0,0.40441737
364761#194174#894079,1,0.5275616
153584#403685#676236,1,0.64026916
350798#967040#113302,0,0.3367138
362468#1007180#73162,0,0.4477731
614966#772832#307510,1,0.57562566
307174#945696#134646,0,0.33332384
193245#606903#473439,0,0.3540126
274768#1065429#14913,1,0.5446457
190134#727871#352471,1,0.58909374
439167#657956#422386,0,0.22461215
54694#387709#692145,1,0.8422189
445121#362031#717826,1,0.8459043
524860#654963#425379,0,0.48743126
394347#620268#460074,0,0.39913806
395162#792176#288166,0,0.4187165
521559#647558#432784,0,0.4069962
208505#753148#327194,1,0.68747205
631828#168657#919475,0,0.38512465
258901#270643#812362,1,0.8311932
510626#127530#960320,0,0.32799596
263255#668938#411404,0,0.44906232
262250#1049778#30564,1,0.55068785
135687#657693#422649,0,0.35306013
284363#1007088#73254,0,0.2872088
492903#114644#973178,0,0.36965644
257585#284368#798691,1,0.7692542
32996#459718#620625,0,0.38972571
112446#845359#234983,0,0.48745832
437387#177405#910709,1,0.8389839
291173#1020710#59632,0,0.41751325
26138#954250#126092,1,0.78377485
232047#953461#126881,1,0.5147905
444014#731577#348765,1,0.6871885
307444#555614#524728,0,0.12123354
332619#168068#920065,1,0.84072185
561066#483305#597037,0,0.42868719
388013#1071447#8895,1,0.53362143
556861#155325#932780,1,0.6540481
178632#144452#943646,1,0.6763679
140071#233543#849289,1,0.67041814
279619#895321#185021,0,0.45038557
395897#403620#677432,1,0.59934676
409709#890088#190254,0,0.15782498
411738#1004988#75354,0,0.4201393
517900#1024751#55591,0,0.38134307
379248#239289#843725,1,0.69962776
145253#522594#557748,0,0.4839917
319930#447011#633338,1,0.66274744
295574#1033665#46677,0,0.23451366
50042#844831#235511,0,0.26077127
465238#242347#840668,1,0.6131069
612509#63398#1041598,1,0.5414405
127489#137111#950993,1,0.5340619
391435#609419#470923,1,0.52891374
619993#1063457#16885,0,0.31099468
139046#461482#618859,1,0.5898204
75499#187193#900958,0,0.42502743
19987#643075#437267,0,0.4368234
254617#615597#464745,0,0.38163698
578387#1038307#42035,0,0.19617267
132839#689199#391143,0,0.4018727
549150#776797#303545,1,0.54061276
120657#372148#707706,1,0.54654557
214453#490947#589395,0,0.3377657
168827#137766#950339,1,0.6830819
363484#1001241#79101,1,0.78174335
152927#322858#760278,1,0.5856215
302769#507421#572921,0,0.42999583
429633#1055170#25172,1,0.7042056
110391#150584#937512,0,0.4858447
83653#446983#633366,1,0.50813276
479496#860739#219603,0,0.3960369
107282#686597#393745,1,0.5209136
533606#502359#577983,0,0.083150946
163867#176022#912076,0,0.23079816
548786#262922#820066,1,0.7323665
515199#944883#135459,0,0.47551215
494442#725631#354711,1,0.5199499
320212#310166#772974,1,0.67256814
504849#49103#1055724,1,0.5296622
496107#739796#340546,0,0.3803105
304596#567434#512908,1,0.5920508
130346#977557#102785,1,0.52016073
11958#332108#748458,1,0.5870135
71819#168107#920026,1,0.6600726
271934#597704#482638,1,0.5336923
477200#637125#443217,0,0.43627566
577822#356780#723082,1,0.66419643
277712#1009691#70651,0,0.3078034
558356#346884#733827,1,0.5116398
334004#413417#666498,1,0.76132274
229256#1068868#11474,0,0.38915956
12007#517397#562945,1,0.67318
498592#801128#279214,1,0.5127366
548647#1018504#61838,0,0.40307358
625471#304360#778746,1,0.85910124
370681#61477#1043507,0,0.46755698
521149#335634#744951,1,0.7883481
411229#749020#331322,0,0.3579324
264672#604137#476205,0,0.46766117
562622#379133#700723,1,0.6771635
222668#732087#348255,0,0.3340762
536485#385664#694188,1,0.53461784
74860#785059#295283,0,0.46171597
573419#261084#821898,1,0.7057829
556800#250239#832758,1,0.68370456
528402#118549#969284,1,0.61861145
2319#101519#986252,1,0.6874792
85634#395896#684011,1,0.71128607
78228#725516#354826,0,0.20785592
284500#117619#970205,1,0.67157596
55919#961289#119053,1,0.6049733
300504#313325#769810,1,0.5379911
617549#450832#629534,1,0.61939967
342901#407289#672627,1,0.6869408
188579#447618#632729,1,0.74612874
464639#824010#256332,1,0.6674819
260171#198339#889924,0,0.4935819
227552#720742#359600,1,0.69118494
520024#295694#787404,1,0.57585967
89495#1026037#54305,0,0.46273988
195977#249584#833417,0,0.47566128
507825#160612#927495,1,0.70324695
439737#361239#718623,1,0.59576344
47355#285913#797152,1,0.76748306
386315#336134#744453,1,0.7758945
612460#223365#859434,1,0.77447844
187834#1004142#76200,0,0.24998802
597213#378962#700895,0,0.41344577
598095#644292#436050,0,0.33498508
363114#267818#815192,0,0.31606844
255383#604662#475680,1,0.5786937
228864#845241#235101,0,0.13095056
594029#211623#871132,1,0.71855366
508010#97774#989992,1,0.5985001
366749#713173#367169,0,0.22370629
64662#866942#213400,0,0.23521064
382184#1041061#39281,1,0.7315994
81372#952154#128188,0,0.33829948
4595#560746#519596,0,0.3835367
72986#233283#849545,1,0.5987435
365425#469829#610513,1,0.74511486
199859#237956#845022,1,0.7416599
265204#274615#808405,1,0.5779664
274786#1042079#38263,1,0.6339344
84838#198252#890011,0,0.46037626
35229#629206#451136,0,0.4884287
206416#443479#636833,1,0.5304969
217867#325097#758035,1,0.5963442
184309#227798#855031,1,0.7622302
124057#570555#509787,1,0.5784005
615675#395913#683994,1,0.54774874
460938#542490#537852,0,0.34495017
546329#664805#415537,0,0.34558675
363700#1040123#40219,0,0.4438164
240582#203650#881592,1,0.8425027
287949#438119#642182,1,0.85163575
29470#33571#1071457,0,0.42060858
64310#649524#430818,0,0.4934437
202917#414775#665161,0,0.44145635
275057#433683#646456,1,0.5899471
58948#644709#435633,0,0.43090186
156589#949714#130628,1,0.6351688
263571#278133#804905,1,0.6749494
350162#69767#1035285,1,0.5287456
8168#842453#237889,1,0.55995375
525929#1014484#65858,0,0.4836633
47098#664065#416277,1,0.5909812
243923#286508#796554,1,0.7568249
16528#426103#653872,1,0.63644123
510475#334003#746574,1,0.54016584
589866#435599#644627,1,0.9006373
509147#762823#317519,1,0.80497134
104069#216274#866496,1,0.6433403
540159#1044117#36225,1,0.6718075
287463#618811#461531,1,0.58934325
323218#573369#506973,1,0.5086129
257991#212872#869886,1,0.7595107
123997#750407#329935,1,0.52741903
327835#313702#769437,0,0.495527
498919#901427#178915,0,0.32790232
527380#183332#904805,1,0.63076365
173908#805105#275237,1,0.56796956
213922#739312#341030,0,0.17429182
214438#739007#341335,0,0.30885983
277764#726186#354156,0,0.49753246
439920#861477#218865,0,0.34540692
371066#401919#677998,1,0.80314064
192753#607083#473259,0,0.47339463
171731#710817#369525,0,0.36748526
529769#445952#634380,1,0.515292
131475#700120#380222,1,0.50966084
581893#444137#636187,1,0.74041444
524187#231477#851360,1,0.9370557
33836#205065#880188,1,0.7970885
93622#227406#855421,1,0.5231603
170509#951417#128925,0,0.33562657
151592#959843#120499,1,0.5872631
255395#1029802#50540,1,0.5507139
6174#226825#855990,1,0.77538794
17104#508980#571362,1,0.6612559
557587#1030456#49886,1,0.6242462
411912#271710#811303,1,0.72315955
192684#435809#644422,0,0.41726953
193125#515543#564799,1,0.5454432
255303#748961#331381,1,0.5468426
594430#177451#910664,0,0.35533926
494990#378808#701046,0,0.39285392
442754#952648#127694,1,0.9089274
12113#882066#198276,0,0.4295712
425062#189946#898289,1,0.74467015
620159#199930#888339,1,0.512446
189964#986215#94127,0,0.37154722
273363#97828#989937,1,0.52828985
340965#295438#787656,0,0.21243322
194619#895286#185056,0,0.23311125
468076#321402#761749,1,0.6650393
545907#831469#248873,0,0.37811172
439893#897183#183159,0,0.33116004
424051#806426#273916,0,0.46409827
589900#759137#321205,1,0.64121747
128639#656975#423367,1,0.733992
124394#650291#430051,0,0.1282979
542464#491920#588422,1,0.5602703
451232#881362#198980,0,0.42315707
20733#793826#286516,1,0.6141531
254690#159919#928182,0,0.477482
371359#970135#110207,1,0.55641276
375870#172736#915388,1,0.79715234
7411#775255#305087,1,0.51483446
446799#785731#294611,0,0.48080888
468870#1026584#53758,0,0.35747775
353261#866931#213411,0,0.29413056
457282#508220#572122,1,0.5114976
181861#599569#480773,1,0.566662
159402#313032#770105,1,0.5782757
602764#107504#980291,1,0.62253904
314851#808029#272313,1,0.55124986
549919#593000#487342,0,0.3056598
317460#968438#111904,0,0.29654047
598232#532707#547635,0,0.41701418
155875#919188#161154,0,0.4871492
441418#380934#698924,1,0.5736849
554983#945842#134500,0,0.4837752
618713#808918#271424,0,0.1225938
434120#286775#796284,1,0.71141255
15308#271368#811645,1,0.7859397
261562#999881#80461,1,0.561565
425675#1067216#13126,0,0.30074733
302278#882783#197559,0,0.37877843
315482#812425#267917,0,0.2237884
84934#448852#631505,1,0.85085064
593970#71661#1033398,0,0.24723808
325808#402754#677167,1,0.6635733
32776#599530#480812,0,0.3430944
113232#980155#100187,1,0.5447651
